# 红区端口扫描报告
# 扫描开始时间: 2025-12-25 08:54:58
# 扫描结束时间: 2025-12-25 10:28:25
# 扫描用时: 1小时33分钟28秒
# 发现主机数: 513 台
#============================================================

10.32.20.1    7547
10.44.205.67    2000,5060
10.44.205.68    2000,5060
10.44.205.69    2000,5060
10.44.205.70    2000,5060
10.44.205.71    2000,5060
10.44.205.72    2000,5060
10.44.205.73    2000,5060
10.44.205.74    2000,5060
10.44.205.75    2000,5060
10.44.205.76    2000,5060
10.44.205.77    2000,5060
10.44.205.78    2000,5060
10.44.205.79    2000,5060
10.44.205.80    2000,5060
10.44.205.81    2000,5060
10.44.205.82    2000,5060
10.44.205.83    2000,5060
10.44.205.84    2000,5060
10.44.205.85    2000,5060
10.44.205.86    2000,5060
10.44.205.87    2000,5060
10.44.205.88    2000,5060
10.44.205.89    2000,5060
10.44.205.90    2000,5060
10.44.205.91    2000,5060
10.44.205.92    2000,5060
10.44.205.93    2000,5060
10.44.205.94    2000,5060
10.44.205.95    2000,5060
10.44.205.96    2000,5060
10.44.205.97    2000,5060
10.44.205.98    2000,5060
10.44.205.99    2000,5060
10.44.205.100    2000,5060
10.44.205.101    2000,5060
10.44.205.102    2000,5060
10.44.205.103    2000,5060
10.44.205.104    2000,5060
10.44.205.105    2000,5060
10.44.205.106    2000,5060
10.44.205.107    2000,5060
10.44.205.108    2000,5060
10.44.205.109    2000,5060
10.44.205.110    2000,5060
10.44.205.111    2000,5060
10.44.205.112    2000,5060
10.44.205.113    2000,5060
10.44.205.114    2000,5060
10.44.205.115    2000,5060
10.44.205.116    2000,5060
10.44.205.117    2000,5060
10.44.205.118    2000,5060
10.44.205.119    2000,5060
10.44.205.120    2000,5060
10.44.205.121    2000,5060
10.44.205.122    2000,5060
10.44.205.123    2000,5060
10.44.205.124    2000,5060
10.44.205.125    2000,5060
10.44.205.126    2000,5060
10.44.205.127    2000,5060
10.44.205.128    2000,5060
10.44.205.129    2000,5060
10.44.205.130    2000,5060
10.44.205.131    2000,5060
10.44.205.132    2000,5060
10.44.205.133    2000,5060
10.44.205.134    2000,5060
10.44.205.135    2000,5060
10.44.205.136    2000,5060
10.44.205.137    2000,5060
10.44.205.138    2000,5060
10.44.205.139    2000,5060
10.44.205.140    2000,5060
10.44.205.141    2000,5060
10.44.205.142    2000,5060
10.44.205.143    2000,5060
10.44.205.144    2000,5060
10.44.205.145    2000,5060
10.44.205.146    2000,5060
10.44.205.147    2000,5060
10.44.205.148    2000,5060
10.44.205.149    2000,5060
10.44.205.150    2000,5060
10.44.205.151    2000,5060
10.44.205.152    2000,5060
10.44.205.153    2000,5060
10.44.205.154    2000,5060
10.44.205.155    2000,5060
10.44.205.156    2000,5060
10.44.205.157    2000,5060
10.44.205.158    2000,5060
10.44.205.159    2000,5060
10.44.205.160    2000,5060
10.44.205.161    2000,5060
10.44.205.162    2000,5060
10.44.205.163    2000,5060
10.44.205.164    2000,5060
10.44.205.165    2000,5060
10.44.205.166    2000,5060
10.44.205.167    2000,5060
10.44.205.168    2000,5060
10.44.205.169    2000,5060
10.44.205.170    2000,5060
10.44.205.171    2000,5060
10.44.205.172    2000,5060
10.44.205.173    2000,5060
10.44.205.174    2000,5060
10.44.205.175    2000,5060
10.44.205.176    2000,5060
10.44.205.177    2000,5060
10.44.205.178    2000,5060
10.44.205.179    2000,5060
10.44.205.180    2000,5060
10.44.205.181    2000,5060
10.44.205.182    2000,5060
10.44.205.183    2000,5060
10.44.205.184    2000,5060
10.44.205.185    2000,5060
10.44.205.186    2000,5060
10.44.205.187    2000,5060
10.44.205.188    2000,5060
10.44.205.189    2000,5060
10.44.205.190    2000,5060
10.44.205.191    2000,5060
10.44.205.192    2000,5060
10.44.205.193    2000,5060
10.44.205.194    2000,5060
10.44.205.195    2000,5060
10.44.205.196    2000,5060
10.44.205.197    2000,5060
10.44.205.198    2000,5060
10.44.205.199    2000,5060
10.44.205.200    2000,5060
10.44.205.201    2000,5060
10.44.205.202    2000,5060
10.44.205.203    2000,5060
10.44.205.204    2000,5060
10.44.205.205    2000,5060
10.44.205.206    2000,5060
10.44.205.207    2000,5060
10.44.205.208    2000,5060
10.44.205.209    2000,5060
10.44.205.210    2000,5060
10.44.205.211    2000,5060
10.44.205.212    2000,5060
10.44.205.213    2000,5060
10.44.205.214    2000,5060
10.44.205.215    2000,5060
10.44.205.216    2000,5060
10.44.205.217    2000,5060
10.44.205.218    2000,5060
10.44.205.219    2000,5060
10.44.205.220    2000,5060
10.44.205.221    2000,5060
10.44.205.222    2000,5060
10.44.205.223    2000,5060
10.44.205.224    2000,5060
10.44.205.225    2000,5060
