# RustScan 网络扫描报告
# 扫描时间: 2025-10-10 14:26:08
# 扫描端口: 21,22,23,80,443,445,873,1433,1521,1883,2181,2375,3306,3389,5236,5432,5672,5900,5901,5902,5903,5904,5905,6379,7001,8080,8081,8082,8088,11211,8161,8443,8848,8888,9200,15672,27017,54321,61616

10.0.115.243  [80, 8080, 8443]
10.0.115.27  [8081]
10.0.115.34  [5236]
10.0.115.35  [443]
10.0.115.36  [80, 443, 8080]
10.0.115.52  [80, 443]
10.0.115.53  [80, 443]
10.0.115.54  [80]
10.0.115.59  [54321]
10.0.115.60  [54321]
10.0.115.62  [5236, 8081]
10.0.115.72  [80, 443]
10.0.115.75  [5236, 8080, 8088]
10.0.115.77  [443, 8081]
10.0.125.25  [443]
10.0.125.26  [443]
10.0.125.28  [443]
10.0.125.31  [8080]
10.0.125.32  [80]
10.0.125.33  [443]
10.0.125.37  [443]
10.0.125.38  [443]
10.0.125.44  [443]
10.0.116.64  [8443]
10.0.116.65  [8443]
10.0.121.23  [80, 443]
10.0.121.25  [80, 443]
10.0.121.30  [443]
10.0.121.31  [80, 443]
10.0.121.33  [80, 443]
10.0.121.34  [443]
10.0.121.36  [443]
10.0.121.37  [80, 443]
10.0.121.38  [443]
10.0.124.32  [80, 443]
10.0.206.16  [443, 8080]
10.0.206.17  [443, 8080]
10.0.206.18  [8080]
10.0.206.19  [443, 8080]
10.0.206.20  [443, 8080]
10.0.206.21  [443, 8080]
10.0.206.22  [443, 8080]
10.0.206.23  [443, 8080]
10.0.250.4  [8443]
10.0.250.47  [80, 443]
10.0.250.7  [443]
10.0.250.8  [8443]
10.0.251.2  [80, 8443]
10.1.0.88  [80, 443]
10.1.7.9  [443]
10.1.48.1  [443]
10.1.48.30  [80]
10.1.48.31  [80]
10.1.48.33  [80, 443]
10.1.48.36  [80]
10.1.48.38  [80, 8081]
10.1.48.40  [80]
10.1.48.44  [80]
10.1.48.45  [80, 443]
10.1.64.22  [80]
10.1.80.101  [443, 8080]
10.1.80.102  [443]
10.1.80.103  [443, 8080]
10.1.80.105  [443, 8080]
10.1.80.106  [443, 8080]
10.1.80.107  [443, 8080]
10.1.80.108  [443, 8080]
10.1.80.21  [80, 443]
10.1.80.22  [80]
10.1.80.23  [80, 443]
10.1.80.24  [80, 443]
10.1.82.21  [80, 443]
10.1.82.22  [80, 443]
10.1.82.23  [80, 443]
10.1.82.24  [443]
10.1.91.21  [8082]
10.1.91.22  [8088]
10.1.94.101  [80]
10.1.94.102  [80]
10.1.94.103  [80]
10.1.94.105  [80]
10.1.94.106  [80]
10.1.94.107  [80]
10.1.94.108  [80]
10.1.94.109  [80]
10.1.94.110  [80]
10.1.94.115  [80]
10.1.94.116  [80]
10.1.94.118  [80]
10.1.94.120  [80]
10.1.94.121  [80]
10.1.94.126  [80]
10.1.94.127  [80]
10.1.96.109  [80, 8080, 8081, 8088]
10.1.96.230  [445, 8080]
10.1.96.231  [8080, 8081]
10.1.96.232  [445, 8080]
10.1.96.233  [445, 5236]
10.1.96.234  [8080, 8081]
10.1.96.235  [445, 8080]
10.1.96.236  [8080, 8081]
10.1.96.237  [445, 8080]
10.1.96.238  [5236, 8080]
10.1.96.239  [8080, 8081]
10.1.96.61  [80, 443, 8080, 8081]
10.1.96.62  [80]
10.1.126.104  [443]
10.1.126.145  [80]
10.1.126.149  [8088]
10.1.126.150  [8088]
10.1.126.180  [8080]
10.1.208.100  [80, 443]
10.1.208.101  [80, 443]
10.1.208.94  [443]
10.1.208.95  [80, 443]
10.1.208.96  [80, 443]
10.1.208.97  [80, 443]
10.1.208.98  [443]
10.1.208.99  [80, 443]
10.1.239.1  [443]
10.4.4.53  [8080]
10.4.10.10  [445]
10.4.21.31  [8080]
10.4.21.63  [80]
10.4.21.64  [8080]
10.4.21.66  [80]
10.4.20.200  [8080]
10.4.20.201  [8080, 8081, 8088]
10.4.20.202  [8080, 8081, 8088]
10.4.20.205  [80, 443]
10.4.20.208  [8080]
10.4.20.209  [8080]
10.4.20.32  [8080]
10.4.20.36  [443]
10.4.20.39  [80]
10.4.20.49  [80]
10.4.20.51  [80]
10.4.20.58  [80]
10.4.20.66  [80]
10.4.20.67  [80]
10.4.20.68  [80]
10.4.20.75  [80]
10.4.20.81  [80, 8081]
10.4.20.84  [80]
10.4.22.21  [8080]
10.4.23.22  [8080]
10.5.4.4  [80, 443]
10.5.4.6  [23, 80, 443, 8080]
10.5.4.7  [23, 80, 443, 8080]
10.5.4.8  [80]
10.5.4.9  [80, 443]
10.5.8.21  [443]
10.6.0.1  [80, 443]
10.6.0.11  [443]
10.6.0.12  [443]
10.6.0.13  [443]
10.6.10.10  [445]
10.6.10.11  [445]
